🛻,旅行,torakku,トラック,トラック
🚚,旅行,torakku,トラック,トラック
🚜,旅行,torakuta-,トラクター,トラクター
🏎️,旅行,re-shinnguka-,レーシングカー,レーシングカー
🏍️,旅行,o-tobai,オートバイ,オートバイ
🛵,旅行,suku-ta-,スクーター,スクーター
🚲,旅行,jitennsha,じてんしゃ,自転車
🛴,旅行,kikkusuku-ta-,キックスクーター,キックスクーター
🚏,旅行,basutei,バスてい,バス停
🛣️,旅行,kousokudouro,こうそくどうろ,高速道路
🛤️,旅行,sennro,せんろ,線路
⛽,旅行,gasorinnsutanndo,ガソリンスタンド,ガソリンスタンド
🚥,旅行,shinngouki,しんごうき,信号機
🚦,旅行,shinngouki,しんごうき,信号機
🚧,旅行,kouji,こうじ,工事
⚓,旅行,ikari,いかり,いかり
⛵,旅行,yotto,ヨット,ヨット
🚤,旅行,supi-dobo-do,スピードボード,スピードボード
🛳️,旅行,fune,ふね,船
⛴️,旅行,feri-,フェリー,フェリー
🛥️,旅行,mo-ta-bo-to,モーターボート,モーターボート
🚢,旅行,fune,ふね,船
✈️,旅行,hikouki,ひこうき,飛行機
🛩️,旅行,hikouki,ひこうき,飛行機
🛫,旅行,hikouki,ひこうき,飛行機
🛬,旅行,hikouki,ひこうき,飛行機
🪂,旅行,parashu-to,パラシュート,パラシュート
💺,旅行,zaseki,ざせき,座席
🚁,旅行,herikoputa-,ヘリコプター,ヘリコプター
